需求(五级项目),归属小微,一级项目,二级项目,三级项目,四级项目,年度,项目计划开始时间,项目期望交付时间,优先级,作战计划,项目负责人(团队长/链群主）,产品设计人员,计划开发人员,实际开发人员,状态,整体进度,说明,交付模式,AI交付类型,工具使用,项目标签,评估人天(条目法),计划人天(AI交付),计划提效,提效方式,资产化交付工具,缺口人天,缺口预算（元）,预算论证日期,实际人天,交付效率(倍),交付代码行,开发计划(链接),应用S码,涉及应用,供应商,项目类型,资源方案,项目分类,效率基线,效率目标,计划供应商人数,实际供应商人数,业务人员人数,项目资源配比(业务:产品:技术),供应商参与人数,资产析出,析出数量,资产析出一致性,资产析出准确率,资产入库,入库数量,入库准确率,增量生成,增量资产数量,增量资产占比,资产转译,转译准确率,数据回放,数据回放准确率,项目进展,项目风险,参与度(总和为1),入库时间,交付范围,数据来源,手工维护,开发状态(公式),是否逾期,需求大类,需求小类,开发跟进表计划人天,交付评价,更新时间,条目法人天（来自任务）,计划预算(元),创建人,创建人.部门,产品确认结果,父记录 2,创建时间,开发资源是否能按时到位,父记录 3,资产析出一致性 (1),资产析出准确率 (1),资产入库 (1),入库数量 (1),入库准确率 (1),增量生成 (1),增量资产数量 (1),增量资产占比 (1),资产转译 (1),转译准确率 (1),数据回放 (1),数据回放准确率 (1),项目进展 (1),项目风险 (1),参与度(总和为1) (1),入库时间 (1),交付范围 (1),数据来源 (1),手工维护 (1),开发状态(公式) (1),是否逾期 (1),需求大类 (1),需求小类 (1),开发根据表计划人天 (1),交付评价 (1),更新时间 (1),条目法人天（来自任务） (1),计划预算(元) (1),创建人 (1),创建人.部门 (1),产品确认结果 (1),创建时间 (1),开发资源是否能按时到位 (1)
支持共用发票场景，同一发票允许用到多个报账单内,财资数字化,数字化赋能领域,财资数字化,建共享一体化平台，推进BCC1230&EVS730下线,建云报账订单报账、外币支付、多费项等报账能力建设，推进BCC下线,2025,2025/04/25,2025/07/30,P0,730,刘晓红,温明皓,,,结项,,,D类-供应商池,Level2 - 会话模式辅助开发,Cursor,财资,30,,,,,30,40500,2025/06/04,0.0,,,,S03091,云报账,北京思源时代科技有限公司,核心项目新建,自有+供应商承建,通用开发类,1.7,3,0,0,3,3:1:0,,是,757,0.95,,是,,,,,,,,,,,,,2025/07/08,交付与质量中心,,是,开发完成,false,,,0.0,,2026/01/04 08:57,0.0,,赵晨,开发团队A,,,2025/07/08,,,,,,,,,,,,,,,,,,2025/07/08,交付与质量中心,,,开发完成,false,,,0.0,,2026/01/04 08:57,0.0,,赵晨,,,2025/07/08,
二手车开票通道需求，12接口（政企合作）,财资数字化,数字化赋能领域,财资数字化,税务“金字塔循环”体系建设,乐企数电票通道能力建设,2025,2025/03/15,2025/07/30,P0,730,张小禹,张小禹,,,结项,,,D类-供应商池,Level1 - 代码补全辅助开发,N/A,财资,30,,,,,30,39000,2025/06/04,0.0,,,,S01425,海尔智税通,青岛微智慧信息有限公司,政府指定&共创,全供应商承建,通用开发类,1,1,5,0,2,2:1:0,,,,,,,,,,,,,,,,,,,2025/07/08,交付与质量中心,,是,开发完成,false,,,0.0,,2026/01/04 08:57,0.0,,赵晨,开发团队A,,,2025/07/08,,,,,,,,,,,,,,,,,,2025/07/08,交付与质量中心,,,开发完成,false,,,0.0,,2026/01/04 08:57,0.0,,赵晨,,,2025/07/08,
旅客运输开票通道能力（政企合作）,财资数字化,数字化赋能领域,财资数字化,税务“金字塔循环”体系建设,乐企数电票通道能力建设,2025,2025/03/15,2025/07/30,P0,730,张小禹,张小禹,,,结项,,,D类-供应商池,Level1 - 代码补全辅助开发,N/A,财资,30,,,,,30,52000,2025/06/04,0.0,,,,S01425,海尔智税通,青岛微智慧信息有限公司,政府指定&共创,全供应商承建,通用开发类,1,1,5,0,2,2:1:0,,,,,,,,,,,,,,,,,,,2025/07/08,交付与质量中心,,是,开发完成,false,,,0.0,,2026/01/04 08:57,0.0,,赵晨,开发团队A,,,2025/07/08,,,,,,,,,,,,,,,,,,2025/07/08,交付与质量中心,,,开发完成,false,,,0.0,,2026/01/04 08:57,0.0,,赵晨,,,2025/07/08,
应用性能提效，含历史单据归档及数据库及应用性能优化，27个表单及全额及部分红冲流程调整,财资数字化,数字化赋能领域,财资数字化,税务“金字塔循环”体系建设,票税通开票能力迭代,2025,2025/03/21,2025/09/30,P0,930,张小禹,付利华,,,需求设计,,,D类-供应商池,Level1 - 代码补全辅助开发,N/A,财资,30,,,,,30,39000,2025/06/04,0.0,,,,S01425,海尔智税通,北京合力中税科技发展有限公司,成熟套件,全供应商承建,通用开发类,1,1,5,0,3,3:1:0,,,,,,,,,,,,,,,,,,,2025/07/08,交付与质量中心,,是,需求设计,false,,,0.0,,2026/01/04 08:57,0.0,,赵晨,开发团队A,,,2025/07/08,,,,,,,,,,,,,,,,,,2025/07/08,交付与质量中心,,,需求设计,false,,,0.0,,2026/01/04 08:57,0.0,,赵晨,,,2025/07/08,
GEMS万链部分切换,财资数字化,数字化赋能领域,财资数字化,万链费用体系迭代升级,万链费用体系迭代升级,2025,2025/10/01,2025/12/30,P0,1230,陆立垚,陆立垚,朱传浩,,需求设计,,,C类-包资源模式,Level2 - 会话模式辅助开发,Cursor,财资,30,12,250.00%,,,,,,0.0,,,,S03220,海尔集团会计引擎,,,,,,,,,,:1:1,,,,,,,,,,,,,,,,,,,2025/07/08,交付与质量中心,,是,需求设计,false,,,0.0,,2026/01/04 08:57,0.0,,赵晨,开发团队A,,,2025/07/08,,,,,,,,,,,,,,,,,,2025/07/08,交付与质量中心,,,需求设计,false,,,0.0,,2026/01/04 08:57,0.0,,赵晨,,,2025/07/08,
国内能力复用：会计引擎,财资数字化,数字化赋能领域,财资数字化,新能源海外共享项目-国内能力复用：会计引擎,国内能力复用：会计引擎,2025,2025/04/01,,,,庄兴雷,陆立垚,朱传浩,,规划,,,C类-包资源模式,Level2 - 会话模式辅助开发,Cursor,财资,30,12,250.00%,,,,,,0.0,,,,S03220,海尔集团会计引擎,,核心项目重大迭代,全自有承建,通用开发类,1.7,3,0,0,,:1:1,,,,,,,,,,,,,,,,,,,2025/07/08,交付与质量中心,财资数字化战略运营✅财资关键项目统计表,否,规划,false,,,0.0,,2026/01/04 08:57,0.0,,赵晨,开发团队A,,,2025/07/08,,,,,,,,,,,,,,,,,,2025/07/08,交付与质量中心,,,规划,false,,,0.0,,2026/01/04 08:57,0.0,,赵晨,,,2025/07/08,
商互通内部物流暂存表退回逻辑前后端优化，修改bms dubbo退回方式为http,财资数字化,数字化赋能领域,财资数字化,智家数字化共享,智家共享场景推广,2025,2025/04/01,2025/06/30,P1,630,陆立垚,常耀刚,黄伟雄,黄伟雄,结项,100%,,C类-包资源模式,Level2 - 会话模式辅助开发,Cursor,财资,30,,,,,,,,16.0,188%,,,S01340,商互通,,,,,,,,,,:1:1,,,,,,,,,,,,,,,,,暂无,,2025/07/16,交付与质量中心,,是,开发完成,false,,,26.0,,2026/01/04 08:57,26.0,,王鑫,质量运营数字化子链群,,,2025/07/16,,,,,,,,,,,,,,,,暂无,,2025/07/16,交付与质量中心,,,开发完成,false,,,26.0,,2026/01/04 08:57,26.0,,王鑫,,,2025/07/16,
"对接收付会计引擎接口
收付款流水、收付款单据增加对接收付会计引擎接口，增加拆分制证功能；",财资数字化,数字化赋能领域,财资数字化,资金能力迭代,收款管理能力完善,2025,2025/04/01,2025/07/30,P0,730,王宗武,薛永娟,,,结项,,,D类-供应商池,Level1 - 代码补全辅助开发,,财资,30,,,,,30,36000,,0.0,,,,S03548,收款管理,中电金信软件有限公司,,,,,,,,,:1:0,,,,,,,,,,,,,,,,,,,2025/07/08,交付与质量中心,,是,开发完成,false,,,0.0,,2026/01/04 08:57,0.0,,赵晨,开发团队A,,,2025/07/08,,,,,,,,,,,,,,,,,,2025/07/08,交付与质量中心,,,开发完成,false,,,0.0,,2026/01/04 08:57,0.0,,赵晨,,,2025/07/08,
人才盘点升级：由常规标准盘升级为敏捷即时盘，更好地识别、发展人才,人力数字化,数字化领域赋能,薪委会数字化,发展数字化专项,人才盘点升级,2025,2025/05/26,2025/09/20,P1,930,宋佳峰,宋佳峰,李恂,,挂起/取消,,,B类-面向特性交付,Level3 - 资产生效模式,智能交付平台+Cursor,人力,30,,,,,10,,,0.0,,,,S03075,创客发展平台,,核心项目重大迭代,自有+供应商承建,通用开发类,1.7,5,,,10,10:1:1,,,,,,,,,,,,,,,,,,,2025/07/04,交付与质量中心,人力2025需求管理✅2025需求池管理,,挂起/取消,false,,,0.0,,2026/01/04 08:57,0.0,,赵晨,开发团队A,,,2025/07/04,,,,,,,,,,,,,,,,,,2025/07/04,交付与质量中心,,,挂起/取消,false,,,0.0,,2026/01/04 08:57,0.0,,赵晨,,,2025/07/04,
"共享运维q4
共享运维台账",人力数字化,数字化领域赋能,薪委会数字化,共享数字化专项,人力云和门户等系统运维,2025,,,,1130,,,,,,,运维,D类-供应商池,Level2 - 会话模式辅助开发,,,30,5,600.00%,,,25,25000,,0.0,,,,,,,,,,,,,,,:0:0,,,,,,,,,,,,,,,,,,,2025/10/24,交付与质量中心,,,,false,,,0.0,,2026/01/04 08:57,0.0,13254,梁祯,共享关爱,,,2025/10/24,,,,,,,,,,,,,,,,,,2025/10/24,交付与质量中心,,,,false,,,0.0,,2026/01/04 08:57,0.0,,梁祯,,,2025/10/24,
"创客激励卡用户体验升级
开发周期评估",人力数字化,数字化领域赋能,薪委会数字化,激励数字化专项,362-创客激励卡用户体验升级,2025,2025/08/01,2026/04/30,P0,1230,孟方,孟方,孙艳飞,"孙艳飞
王旭杰
刘国帅",开发,100%,,B类-面向特性交付,Level2 - 会话模式辅助开发,,人力,30,29,103.45%,,,30,30000,,33.0,91%,,,,,,,自有+供应商承建,,,,,,,:1:1,,,,,,,,,,,,,,,,,暂无,,2025/08/11,交付与质量中心,,,开发中,false,,,84.5,,2026/01/13 10:25,84.5,,孟方,薪酬时间,,,2025/08/11,,,,,,,,,,,,,,,,暂无,,2025/08/11,交付与质量中心,,,开发中,false,,,84.5,,2026/01/13 10:25,84.5,,孟方,,,2025/08/11,
训战学习体系,人力数字化,数字化领域赋能,薪委会数字化,学习数字化专项,训战学习体系,2025,2025/04/01,2025/08/30,P2,830,路超,路超,"张启栋,辛锐",,需求设计,,,B类-面向特性交付,Level2 - 会话模式辅助开发,Claude+Cursor,人力,30,,,,,,,,0.0,,,,S01377,创客学习平台,,核心项目新建,全自有承建,通用开发类,1.7,3,3,,10,10:1:2,,是,324,0.94,,是,,1,,,,,,,,,,,2025/07/04,交付与质量中心,人力2025需求管理✅2025需求池管理,,需求设计,false,,,0.0,,2026/01/29 09:15,0.0,,赵晨,开发团队A,,,2025/07/04,,,,,,,,,,,,,,,,,,2025/07/04,交付与质量中心,,,需求设计,false,,,0.0,,2026/01/29 09:15,0.0,,赵晨,,,2025/07/04,
专委会数据对接及管理与权限重构,人力数字化,数字化领域赋能,薪委会数字化,学习数字化专项,专委会数据对接及管理与权限重构,2025,2025/05/20,2025/08/30,P2,830,路超,路超,"张启栋,辛锐",,需求设计,,,B类-面向特性交付,Level2 - 会话模式辅助开发,Claude+Cursor,人力,30,,,,,,,,0.0,,,,S01377,创客学习平台,,核心项目重大迭代,全自有承建,通用开发类,1.7,3,3,,10,10:1:2,,是,324,0.94,,是,,1,,,,,,,,,,,2025/07/04,交付与质量中心,人力2025需求管理✅2025需求池管理,,需求设计,false,,,0.0,,2026/01/29 09:15,0.0,,赵晨,开发团队A,,,2025/07/04,,,,,,,,,,,,,,,,,,2025/07/04,交付与质量中心,,,需求设计,false,,,0.0,,2026/01/29 09:15,0.0,,赵晨,,,2025/07/04,
招聘中台2.0，蓄水机会升级和招聘漏斗报表,人力数字化,数字化领域赋能,薪委会数字化,招聘数字化专项,其他需求,2025,2025/10/14,2025/11/18,,1130,梁文嘉,梁文嘉,王元超,,需求设计,,,,,,人力,30,10,300.00%,,,,,,0.0,,,,,,,,,,,,,,,:1:1,,,,,,,,,,,,,,,,,,,2025/10/14,非交付与质量中心,,,需求设计,false,,,0.0,,2026/01/04 08:57,0.0,,梁文嘉,规划配置与绩效激励,,,2025/10/14,,,,,,,,,,,,,,,,,,2025/10/14,非交付与质量中心,,,需求设计,false,,,0.0,,2026/01/04 08:57,0.0,,梁文嘉,,,2025/10/14,
内部人才库-并联发展海外人才池,人力数字化,数字化领域赋能,薪委会数字化,招聘数字化专项,其他需求,2025,2025/10/14,2025/10/15,,1030,史慧洁,史慧洁,,王旭杰,结项,100%,项目,B类-面向特性交付,Level2 - 会话模式辅助开发,,人力,30,,,,,20,30000,,4.0,750%,,,,,,,自有+供应商承建,,,,,,,:1:0,,,,,,,,,,,,,,,,,,,2025/10/14,交付与质量中心,,,开发完成,false,,,10.0,,2026/02/09 09:12,10.0,,梁文嘉,规划配置与绩效激励,,,2025/10/14,,,,,,,,,,,,,,,,,,2025/10/14,交付与质量中心,,,开发完成,false,,,10.0,,2026/02/09 09:12,10.0,,梁文嘉,,,2025/10/14,
岗位预算管理配置,人力数字化,数字化领域赋能,薪委会数字化,组织数字化专项,1013-岗位预算管理配置,2025,2025/09/22,2025/10/31,P1,1030,梁祯,路超,孙艳飞,刘永胜,开发,100%,,B类-面向特性交付,Level3 - 资产生效模式,智能交付平台+Cursor,人力,30,,,,,20,20000,,6.0,500%,,,S02262,组织管理系统（链群系统）,,核心项目重大迭代,全自有承建,通用开发类,1.7,5,1,1,8,8:1:1,,,,,,,,,,,,,,,,,暂无,,2025/07/04,交付与质量中心,人力2025需求管理✅2025需求池管理,,开发中,true,,,12.0,,2026/01/04 08:57,12.0,,赵晨,开发团队A,,,2025/07/04,,,,,,,,,,,,,,,,暂无,,2025/07/04,交付与质量中心,,,开发中,true,,,12.0,,2026/01/04 08:57,12.0,,赵晨,,,2025/07/04,
" 1、海外平台特殊流程配置：有专办员审核，外事审核节点固定人员。 2、特殊平台根据专办员获取外事审核节点的审核人 3、处理特殊平台切换的流程节点问题。 4、常驻批件的文字内容修改。 5、邮箱添加跳转IT服务台功能。 6、安全工单漏洞解决
等优化运营需求",交付与质量中心,数字化赋能领域,党群数字化,出国系统迭代,因公出访运营优化项目,2025,2025/01/01,2025/12/30,P2,1230,郑耀华,程志恒,程志恒,,发布,,,C类-包资源模式,Level2 - 会话模式辅助开发,Claude+Cursor,各委员会,30,15,200.00%,,,,,,0.0,,,,S03294,海尔出国（境）管理服务平台,,,,,,,,,,:1:1,,,,,,,,,,,,,,,,,,,2025/09/02,交付与质量中心,,,开发完成,false,,,0.0,,2026/01/04 08:57,0.0,,杨铭,风险合规数字化,,,2025/09/02,,,,,,,,,,,,,,,,,,2025/09/02,交付与质量中心,,,开发完成,false,,,0.0,,2026/01/04 08:57,0.0,,杨铭,,,2025/09/02,
" 1、关闭因公系统的因私任务提报入口：系统提报任务时，关闭因私护照、私人港澳通行证、私人台湾通行证选项入口。2、政审审核操作优化：政审审核时，操作按钮修改为“审核通过”、“审核驳回”。如需驳回时，审核人可直接操作“审核驳回”；3、商旅系统机票获取功能：提交人单合一时，自动带出商旅系统所预订的机票。如自动带出失败，出访人可手动录入机票订单号并带出相应机票信息。4、签证及代理费校验优化：人单合一审核时，签证代理费未维护的校验，由“小微主/直线领导审核”节点修改为“专办员护照领取”节点；5、数据导出功能：全流程台账增加专办员、签证中心角色导出数据权限，专办员可导出其所负责组织的任务数据，签证中心角色可导出所有任务数据。",交付与质量中心,数字化赋能领域,党群数字化,出国系统迭代,因公出访运营优化项目,2026,2025/01/01,2026/01/31,P2,130,郑耀华,程志恒,程志恒,程志恒,发布,100%,,C类-包资源模式,Level2 - 会话模式辅助开发,Claude+Cursor,各委员会,30,15,200.00%,,,,,,10.0,300%,,,S03294,海尔出国（境）管理服务平台,,,,,,,,,,:1:1,,,,,,,,,,,,,,,,,暂无,,2026/01/28,交付与质量中心,,,开发完成,false,,,26.0,,2026/01/28 09:19,26.0,,程志恒,交付与质量中心,,,2026/01/28,,,,,,,,,,,,,,,,暂无,,2026/01/28,交付与质量中心,,,开发完成,false,,,26.0,,2026/01/28 09:19,26.0,,程志恒,,,2026/01/28,
"黑名单功能迭代（并联law省事(商业法律);国内合同全生命周期管理;新间采;海尔新能源采购平台;全球应收信用360风险云平台;
黑名单公示需求优化
黑名单解除优化
黑名单增加领域主和平台主授权
黑名单与各个招标系统对接数据正常化巡检）",交付与质量中心,数字化赋能领域,监察委数字化,监察委-诉讼及舞弊风控系统优化迭代项目,黑名单功能迭代,2025,2025/02/26,2025/06/30,P2,630,郑耀华,李飞,程珍,,结项,,,A类-端到端交付模式,Level2 - 会话模式辅助开发,Claude+Cursor,各委员会,30,,,,,,,,0.0,,,,S03353,黑名单系统,,,,,,,,,,:1:1,,,,,,,,,,,,,,,,,,,2025/09/01,交付与质量中心,,,开发完成,false,业务流程优化类,流程开发,0.0,,2026/01/04 08:57,0.0,,李飞,风险合规数字化,,,2025/09/01,,,,,,,,,,,,,,,,,,2025/09/01,交付与质量中心,,,开发完成,false,,,0.0,,2026/01/04 08:57,0.0,,李飞,,,2025/09/01,
海尔人V2.5.23，23周迭代（科技星球统计、吐槽墙部门回应、阵营PK、）,交付与质量中心,数字化赋能领域,文化数字化,海尔人迭代,大讨论,2025,2025/06/02,2025/06/06,P0,630,王卫强,王选奇,"张旭,范双,赵清岩,李密,白士泉,王梅宇,程相稳",,发布,,,B类-面向特性交付,Level2 - 会话模式辅助开发,Claude+Cursor,文化,30,,,,,,30000,,0.0,,7419,,S03174,海尔人,,核心项目持续迭代,全自有承建,通用开发类,,,0,0,10,10:1:7,,,,,,,,,,,,,,,,已完成,,,2025/07/04,交付与质量中心,人工维护-王卫强,,开发完成,false,,,0.0,,2026/01/28 10:00,0.0,,赵晨,开发团队A,,,2025/07/04,,,,,,,,,,,,,,,,,,2025/07/04,交付与质量中心,,,开发完成,false,,,0.0,,2026/01/28 10:00,0.0,,赵晨,,,2025/07/04,
海尔人V2.5.24，24周迭代（生产安全月、AI大赛）,交付与质量中心,数字化赋能领域,文化数字化,海尔人迭代,活动类,2025,2025/06/09,2025/06/13,P0,630,王卫强,王选奇,"张旭,范双,赵清岩,李密,白士泉,王梅宇,程相稳",,发布,,,B类-面向特性交付,Level2 - 会话模式辅助开发,Claude+Cursor,文化,30,,,,,,30000,,0.0,,9831,,S03174,海尔人,,核心项目持续迭代,全自有承建,通用开发类,,,0,0,10,10:1:7,,,,,,,,,,,,,,,,已完成,,,2025/07/04,交付与质量中心,人工维护-王卫强,,开发完成,false,,,0.0,,2026/01/28 10:18,0.0,,赵晨,开发团队A,,,2025/07/04,,,,,,,,,,,,,,,,,,2025/07/04,交付与质量中心,,,开发完成,false,,,0.0,,2026/01/28 10:18,0.0,,赵晨,,,2025/07/04,
文化12月-海宣云+History裁切,交付与质量中心,数字化领域赋能,文化数字化,History,History,2025,,2025/12/31,P1,1130,王卫强,,,,发布,,,B类-面向特性交付,Level2 - 会话模式辅助开发,Cursor,文化,37,10,370.00%,编码效率提升,使用需求分析智能体,,,,0.0,,,,S03174,海尔人,,,,,,,,,,:0:0,,,,,,,,,,,,,,,,,,,2025/11/08,交付与质量中心,,是,开发完成,false,,,0.0,,2026/01/04 08:57,0.0,,王卫强,文化团队,,,2025/11/08,,,,,,,,,,,,,,,,,,2025/11/08,交付与质量中心,,,开发完成,false,,,0.0,,2026/01/04 08:57,0.0,,王卫强,,,2025/11/08,
海尔人-问卷体系-基于BPM剥离组装服务 社区统一问卷工具开发,交付与质量中心,数字化领域赋能,文化数字化,海尔人迭代,表单,2025,,2025/11/28,P1,1130,王卫强,,,王梅宇,发布,100%,梅宇参与，少前端未完成,B类-面向特性交付,Level2 - 会话模式辅助开发,Cursor,文化,120,10,1200.00%,大规模复用现有资产,使用需求分析智能体,,,,5.0,2400%,,,S03174,海尔人,,,,,,,,,,:0:0,,,,,,,,,,,,,,,,,,,2025/10/27,交付与质量中心,ALM20_20251016112,是,开发完成,false,,,12.0,,2026/02/08 21:37,12.0,,王卫强,文化团队,,,2025/10/27,,,,,,,,,,,,,,,,,,2025/10/27,交付与质量中心,,,开发完成,false,,,12.0,,2026/02/08 21:37,12.0,,王卫强,,,2025/10/27,
V3.0.10新增举报归档中心、驳回优化,交付与质量中心,数字化领域赋能,文化数字化,海尔人迭代,大讨论,2025,,2025/10/31,,1030,王卫强,,"王梅宇,范双,赵清岩","王梅宇
范双
赵清岩",发布,100%,,B类-面向特性交付,Level2 - 会话模式辅助开发,Cursor,文化,30,10,300.00%,,,,,,8.0,375%,,,S03174,海尔人,,,,,,,,,,:0:3,,,,,,,,,,,,,,,,,,,2025/10/24,交付与质量中心,,是,开发完成,false,,,19.0,,2026/02/08 21:38,19.0,,王卫强,文化团队,,,2025/10/24,,,,,,,,,,,,,,,,,,2025/10/24,交付与质量中心,,,开发完成,false,,,19.0,,2026/02/08 21:38,19.0,,王卫强,,,2025/10/24,
海尔人V3.0.8  吐槽墙 ,交付与质量中心,数字化领域赋能,文化数字化,海尔人迭代,大讨论,2025,,2025/09/28,P0,930,王卫强,,,"王梅宇
范双",发布,100%,,B类-面向特性交付,Level2 - 会话模式辅助开发,Cursor,文化,30,20,150.00%,,,,,,11.0,273%,,,S03174,海尔人,,,,,,,,,,:0:0,,,,,,,,,,,,,,,,,,,2025/09/25,交付与质量中心,,是,开发完成,false,,,22.0,,2026/01/04 08:57,22.0,,王卫强,文化团队,,,2025/09/25,,,,,,,,,,,,,,,,,,2025/09/25,交付与质量中心,,,开发完成,false,,,22.0,,2026/01/04 08:57,22.0,,王卫强,,,2025/09/25,
海尔人34周迭代 V4.0.3.x 多级频道修改模块/zoom和响应式布局/回顶部,交付与质量中心,数字化领域赋能,文化数字化,海尔人迭代,频道,2025,2025/08/20,2025/09/05,P2,930,王卫强,,"程相稳,张旭","程相稳
李密",发布,100%,,B类-面向特性交付,Level2 - 会话模式辅助开发,Cursor,文化,30,9,333.33%,,,,,,7.0,429%,,,S03174,海尔人,,,,,,,,,,:0:2,,,,,,,,,,,,,,,,,暂无,,2025/08/20,交付与质量中心,,是,开发完成,false,,,14.0,,2026/02/08 21:42,14.0,,王卫强,文化团队,,,2025/08/20,,,,,,,,,,,,,,,,暂无,,2025/08/20,交付与质量中心,,,开发完成,false,,,14.0,,2026/02/08 21:42,14.0,,王卫强,,,2025/08/20,
海尔人33周迭代 多级频道 （移动端） ,交付与质量中心,数字化领域赋能,文化数字化,海尔人迭代,通用频道,2025,2025/08/18,2025/08/22,P1,830,王卫强,,李密,"李密
白士泉",发布,100%,,B类-面向特性交付,Level2 - 会话模式辅助开发,Cursor,文化,30,18,166.67%,,,,,,10.0,300%,,,S03174,海尔人,,,,,,,,,,:0:1,,,,,,,,,,,,,,,,,,,2025/08/20,交付与质量中心,,是,开发完成,false,,,18.0,,2026/01/28 10:19,18.0,,王卫强,文化团队,,,2025/08/20,,,,,,,,,,,,,,,,,,2025/08/20,交付与质量中心,,,开发完成,false,,,18.0,,2026/01/28 10:19,18.0,,王卫强,,,2025/08/20,
融媒云线索 融媒云“L to X”产品需求文档,交付与质量中心,数字化领域赋能,文化数字化,融媒云,线索,2025,,2025/10/24,P2,1030,王卫强,,"张旭,程相稳",王卫强,发布,100%,,B类-面向特性交付,Level2 - 会话模式辅助开发,Cursor,文化,30,20,150.00%,,,,,,5.0,600%,,,S03387,融媒云,,,,,,,,,,:0:2,,,,,,,,,,,,,,,,,,,2025/10/11,交付与质量中心,,是,开发完成,false,,,30.0,,2026/01/04 08:57,30.0,,王卫强,文化团队,,,2025/10/11,,,,,,,,,,,,,,,,,,2025/10/11,交付与质量中心,,,开发完成,false,,,30.0,,2026/01/04 08:57,30.0,,王卫强,,,2025/10/11,
转岗人员绩效和兑现系数核算逻辑变更,人力数字化,数字化领域赋能,薪委会数字化,绩效数字化专项,104-分段绩效规则升级,2025,2025/05/15,2025/07/10,P0,730,毕亚蕊,毕亚蕊,"刘曰波,王学晗","王学晗
刘曰波",结项,100%,,B类-面向特性交付,Level2 - 会话模式辅助开发,Claude+Cursor,人力,29.6,27,109.63%,,,0,0,,23.0,129%,,S03401-绩效管理,S03401,绩效管理,,,全自有承建,通用开发类,,,,,,:1:2,,,,,,,,,,,,,,,,,暂无,,2025/07/04,交付与质量中心,,,开发完成,false,业务流程优化类,规则开发,32.1,,2026/01/04 08:57,32.1,,赵晨,开发团队A,已确认,,2025/07/04,,,,,,,,,,,,,,,,暂无,,2025/07/04,交付与质量中心,,,开发完成,false,,,32.1,,2026/01/04 08:57,32.1,,赵晨,,,2025/07/04,
不启用绩效范围配置升级,人力数字化,数字化领域赋能,薪委会数字化,绩效数字化专项,729-不启用绩效范围配置升级,2025,,2025/10/30,P1,1030,毕亚蕊,毕亚蕊,"刘曰波,王学晗","刘曰波
王学晗",验证,100%,,B类-面向特性交付,Level2 - 会话模式辅助开发,,人力,29.5,15,196.67%,,,0,,,12.5,236%,,,,,,,,,,,,,,:1:2,,,,,,,,,,,,,,,,,暂无,,2025/09/30,交付与质量中心,,,开发完成,false,,,33.5,,2026/01/04 08:57,33.5,,毕亚蕊,规划配置与绩效激励,,,2025/09/30,,,,,,,,,,,,,,,,暂无,,2025/09/30,交付与质量中心,,,开发完成,false,,,33.5,,2026/01/04 08:57,33.5,,毕亚蕊,,,2025/09/30,
"1、江门自动退货：多个SO 合并开一个billing
2、客户回款登记：指定回款处理的中转账户
3、Tracker对公费用巡检、任务分配：自动获取GEMS claim report的信息，通过RPA提取claim report上对应的科目/CDC信息到RPA模板再回传给SSC检查并记账 or RPA直接提取claim report信息填入VIM并保存",财资数字化,数字化赋能领域,财资数字化,RPA智能化升级,RPA智能化升级,2025,2025/05/19,2025/07/30,P0,730,何喜岩,何喜岩,,,开发,,,D类-供应商池,Level1 - 代码补全辅助开发,N/A,财资,29,,,,,29,27260,,0.0,,,,S01664,"SSC会计助手机器人,SSC会计助手机器人",众淼控股（青岛）股份有限公司,成熟套件,全供应商承建,RPA,1,1,2,0,15,15:1:0,,,,,,,,,,,,,,,,,,,2025/07/08,交付与质量中心,,是,开发中,true,,,0.0,,2026/01/04 08:57,0.0,,赵晨,开发团队A,,,2025/07/08,,,,,,,,,,,,,,,,,,2025/07/08,交付与质量中心,,,开发中,true,,,0.0,,2026/01/04 08:57,0.0,,赵晨,,,2025/07/08,
CANDY 的SFTP方式获取余额、融资信息，让GTMS可以获取余额，融理通获取融资信息,财资数字化,数字化赋能领域,财资数字化," CCR财务体系-海外司库建设",银企直连建设,2025,2025/03/25,2025/12/30,P2,1230,王宗武,陈冬梅,,孙乐磊,挂起/取消,100%,,D类-供应商池,Level1 - 代码补全辅助开发,,财资,28,13,215.38%,,,27.5,33000,,1.0,2800%,,,S03099,票据通,"东软集团股份有限公司, 中电金信软件有限公司",核心项目重大迭代,全自有承建,通用开发类,1.7,3,0,0,1,1:1:0,,,,,,,,,,,,,,,,,暂无,,2025/07/08,交付与质量中心,,是,挂起/取消,false,,,4.0,,2026/01/04 08:57,4.0,,赵晨,开发团队A,,,2025/07/08,,,,,,,,,,,,,,,,暂无,,2025/07/08,交付与质量中心,,,挂起/取消,false,,,4.0,,2026/01/04 08:57,4.0,,赵晨,,,2025/07/08,
